id;name;description;neighborhood_overview;picture_url;host_id;latitude;longitude;location;property_type;room_type;accommodates;bathrooms_text;bedrooms;beds;price;minimum_nights;maximum_nights;instant_bookable;amenities
1;Colosseo Loft Flavia;Loft at the Colosseum, within walking distance from Domus Aurea park, very well connected, it is 5 minutes from Colosseum Metro, recently refurbished with elegance and equipped with all services, free wi-fi and private parking. The space Free wi-fi and private parking, clean linens Guest access Whole apartment and free wi-fi Other things to note A very well finished apartment equipped with all comforts.;Colosseo - Monti;https://a0.muscache.com/im/pictures/7e227519-1ea6-4d35-87ea-338743ae39d6.jpg,https://a0.muscache.com/im/pictures/cd2825aa-b9ee-4ee7-8b41-930be2ab15f2.jpg,https://a0.muscache.com/im/pictures/b6d7826c-a112-46dd-babe-ecc3ae01dfb7.jpg,https://a0.muscache.com/im/pictures/38f4ce1d-d50d-4d92-af59-22db1a65432f.jpg,https://a0.muscache.com/im/pictures/2e944669-b3e2-45ac-a5b0-69b88afdb236.jpg;1;41.88996;12.49861;Roma, Italia;Entire rental unit;Entire home/apt;4;1 bath;1;2;87.00;2;365;TRUE;TV,Essentials,First aid kit,Air conditioning,Extra pillows and blankets,Hair dryer,Cleaning products,Body soap,Hot water,Microwave,Cooking basics,Room-darkening shades,Heating,Dining table,Clothing storage: dresser and closet,Coffee,Coffee maker: espresso machine,Self check-in,Wifi,Stove,Conditioner,Refrigerator,Kitchen,Shared patio or balcony,Hangers,Shower gel,Bed linens,Ethernet connection,Washer,Carbon monoxide alarm,Dedicated workspace,Freezer,Wine glasses,Elevator,Lockbox,Dishes and silverware,Shampoo,Pets allowed,City skyline view
2;Room Suite Rome (In the Heart) x 2 Self Check-in;The room on the third floor of an Umbertine-style building from the late '800, is in the Sallustiano district, in the center of Rome, a few steps from Termini Station and the sights of Rome: Via Veneto, Via Nazionale, Piazza della Repubblica, Spanish Steps, Fountain of Trevi, Colosseo, Piazza Navona, Pantheon, are all easy to reach on foot. When you arrive you'll find a guide made from me with all informations about restaurants, service and shop around here! One dinner offered in your room! The space All surfaces are sanitized with ethanol alcohol. To avoid contacts, self check-in is possible. You will find the Keys in the door lock and inside the Suite every indication and suggestion from the services and restaurants in the area to the attractions in the area and beyond. The room has its own entrance, has been recently renovated, is a double bed with private bath, has a large wardrobe, a chest of drawers on which you will find clean towels and on whic;The district where the accommodation is the Sallustiano, in the first district of Rome. It is a business district, banks, ministries and embassies. During the day is filled with cars and people, from the afternoon begins to empty up to become a residential neighborhood ... plenty of parking available and no traffic. In the area there are: supermarket open 7/7 from 8 to 22, pharmacies, ATMs, tobacconist, paper shop, greengrocer, deli, restaurants, pizzerias and bars. Besides having the Termini Station 10-minute walk crossroads of trains, metro, bus and taxi, 2 minutes there is Piazza della Repubblica with the multiplex cinema, restaurants and very commercial via Nazionale. If you need to better organize your holidays in Rome, ask me and when you arrive you will find a person willing to help! Possibility of Service Shuttle from and to Airport, Port and for any Train Station;https://a0.muscache.com/im/pictures/5b027976-658a-4438-89a7-7dbe6536bd98.jpg,https://a0.muscache.com/im/pictures/fbafdb2d-202b-4d89-ade4-094f07ef0f9b.jpg,https://a0.muscache.com/im/pictures/df9cff33-4c23-467e-94b6-f8c96242c2e3.jpg,https://a0.muscache.com/im/pictures/4902fc03-a309-408f-a67c-68b41ed4c8ae.jpg,https://a0.muscache.com/im/pictures/b5515b97-d02c-478e-b347-abe216a87125.jpg;2;41.90562;12.49565;Roma, Italia;Entire guest suite;Entire home/apt;2;1 bath;1;1;69.00;1;365;TRUE;TV,Essentials,First aid kit,Air conditioning,Hair dryer,Cooking basics,Iron,Heating,Self check-in,Wifi,Smart lock,Private entrance,Kitchen,Hangers,Carbon monoxide alarm,Dedicated workspace,Elevator,Fire extinguisher,Smoke alarm,Long term stays allowed,Shampoo
3;Unwind at a Minimal, Stylish Suite in a Medieval Building;Open the gauzy curtains and serve a leisurely breakfast in this soothing suite in the heart of Trastevere. Wander the hexagonal terracotta tiles, step into the jacuzzi tub for a relaxing soak, then explore the area's winding, vine-covered alleys.;;https://a0.muscache.com/im/pictures/f26db662-1b44-4c9b-8f79-0c4e03041abf.jpg,https://a0.muscache.com/im/pictures/5ccd3371-8896-4353-8886-ebad7319c0f4.jpg,https://a0.muscache.com/im/pictures/ccd54e06-691f-42e2-9c67-0014deb7e154.jpg,https://a0.muscache.com/im/pictures/fcee98ff-065f-487b-a381-a50755f106c3.jpg,https://a0.muscache.com/im/pictures/5729ddd1-c692-4098-800c-bfb87ffc17a6.jpg;3;41.89038;12.47289;Roma, Italia;Entire loft;Entire home/apt;2;1 bath;1;1;70.00;1;365;TRUE;Essentials,AC - split type ductless system,First aid kit,Extra pillows and blankets,Hair dryer,Hot water,Room-darkening shades,Iron,Heating,Bidet,Wifi,Refrigerator,Paid parking off premises,Single level home,Luggage dropoff allowed,Bed linens,Dedicated workspace,Lock on bedroom door,Elevator,Clothing storage: closet and dresser,Fire extinguisher,Long term stays allowed,Safe,TV with standard cable,Pets allowed
4;Green Apartment Rione Monti Colosseo Staz. Termini;"100% PRIVATE APARTMENT! NO OTHER FEES, NO SURPRISES AFTER BOOKING! Apartment immersed in the heart and history of Rome. The ideal spot for any itinerary. 10 minute by walk from Colosseum and Termini Train Station (where you can arrive directly from airport by shuttle bus or train). 5 minutes to subway stops Cavour or Vittorio Emanuele. Few steps from ""Basilica di Santa Maria Maggiore"". Just few steps around the apartment to find everything you need (restaurants, pizza, pub, bank, laundry, etc). The space The apartment is located in the very heart of Rome, in the peculiar district 'Rione Monti', only ten minute walk to the Colosseo and just two minutes from the Santa Maria Maggiore's Basilica. It comes to a spacious and cosy studio apartment on a condominium ground floor, with private entrance by a quiet street in the 'historical center'. Due to its position, it can be the ideal spot to enjoy the touristic and historical part of Rome without sa";"The Monti neighborhood is considered one of the coolest of Rome and full of beautiful places and attractions to suit all tastes. Here you will notice craft shops, art galleries and cafes latest fashion next to typical restaurants. Monti is much sought after for its romantic style and hip, as well as for its proximity to the Colosseum, which characterizes it as one of the most valuable areas of Rome. In the past Monti was one of the darkest and neglected neighborhoods of the city, considered the ""dark side"" of the capital, because until the Forties was inhabited by prostitutes and criminals, so he was shunned by respectable citizens. Today the situation is very different: the most creative and trendy young people are attracted by the many trendy shops, the architectural goodies and trendy restaurants. Often these people to open hip and popular local flea market known today throughout Rome. the night life is not to die as tourist Trastevere but is charact";https://a0.muscache.com/im/pictures/07083937-b671-41d5-973b-a845080fc2bc.jpg,https://a0.muscache.com/im/pictures/2668a124-955c-475b-a9d7-b37e2ac66086.jpg,https://a0.muscache.com/im/pictures/467eae01-164a-4ccd-ae58-8142acf990c7.jpg,https://a0.muscache.com/im/pictures/ea3634ee-92da-46cb-b6e4-b33372e2cf89.jpg,https://a0.muscache.com/im/pictures/3fb7475b-cf96-4cfd-9421-d5f3a29b4e03.jpg;4;41.8961;12.50015;Roma, Italia;Entire loft;Entire home/apt;4;1 bath;1;2;65.00;2;10;TRUE;TV,Essentials,Air conditioning,Extra pillows and blankets,Hair dryer,Body soap,Hot water,Room-darkening shades,Heating,Bidet,Wifi,Hot water kettle,Breakfast,Refrigerator,Kitchen,Hangers,Shower gel,Bed linens,Dedicated workspace,Clothing storage,Lock on bedroom door,Shampoo
5;Luxury panoramic suite, 5mins Colosseo,2mins Metro;!!! IPAD+ SAMSUNG SMART TV+ XXL FREE NETFLIX + PLAYSTATION 3 My accommodation is only 5 min from the Colosseum, Manzoni station is only 350 m away, and it's close to San Giovanni Cathedral , Santa Maria maggiore Cathedral.. You will love it for: the neighborhood, the light, the surroundings, the atmosphere and the people. Fantastic location! amazing suite! 5 minutes by foot to the Colosseum 2 minutes walking distance also from Manzoni metro A stop. 38 mq of room. all services close by. The space Fantastic location in a gorgeous area, around colosseum. One of the most exclusive location with an amazing panoramic view. The flat is composed by high ceilings, about 4 meters. The building is from 1610. Location and exclusivity are the main points.city tax not included. THE PLACE: From the entrance, you will go through A huge hall, that give you the access to your private and luxury SUITE and the other independ;amazing neighborhood;https://a0.muscache.com/im/pictures/58728b07-bd22-462a-96ac-986746ee8331.jpg,https://a0.muscache.com/im/pictures/15ff3854-ae13-4101-90aa-4f9ea81de3c0.jpg,https://a0.muscache.com/im/pictures/f7b5cec5-b4f4-4411-be80-e2cb85dd4834.jpg,https://a0.muscache.com/im/pictures/aa11ba2a-4590-4d66-a611-a6f340685a87.jpg,https://a0.muscache.com/im/pictures/e663d3ff-da89-43c3-a9c3-6a29a76ac76b.jpg;5;41.88745;12.50503;Roma, Italia;Entire loft;Entire home/apt;4;1 bath;1;3;74.00;1;27;TRUE;Essentials,AC - split type ductless system,First aid kit,Extra pillows and blankets,Stainless steel oven,Hair dryer,Cleaning products,Toaster,Body soap,Hot water,Microwave,Cooking basics,Room-darkening shades,Free parking on premises,Dining table,Bidet,Coffee maker: espresso machine,Self check-in,Wifi,Hot water kettle,Clothing storage: walk-in closet and closet,Free washer in unit,Conditioner,Refrigerator,Kitchen,Baking sheet,Whirlpool stainless steel gas stove,Hangers,Shower gel,Private patio or balcony,Bread maker,Bed linens,Ethernet connection,Dishwasher,Carbon monoxide alarm,Freezer,Garden view,Wine glasses,Elevator,Lockbox,HDTV with Fire TV, Netflix,Fire extinguisher,Smoke alarm,Long term stays allowed,Dishes and silverware,Outdoor dining area,Heating - split type ductless system,Shampoo,Mosquito net,Free street parking
6;Trastevere graceful apartment;An apartment of 80 square meters with parquet flooring, it will lend your stay in Rome a classical flavor. Here you will find two double bedrooms of 18 square meters each, bathroom, living area, kitchen with adjoining dining area. San Pietro, Piazza Navona, the Colosseum, the Roman Forum, the museums and the shopping area are close at hand and easy to reach. The space An apartment of 80 square meters with parquet flooring, it will lend your stay in Rome a classical flavor. Here you will find two double bedrooms of 18 square meters each, bathroom, living area, kitchen with adjoining dining area. San Pietro, Piazza Navona, the Colosseum, the Roman Forum, the museums and the shopping area are close at hand and easy to reach. These are the services offered for a pleasant and care free stay: Room cleaning, Linen change, Towels, TV LCD HD, Free Wi-Fi, iPod dock, Interactive Tablet, Safe, Water boiler, Nespresso, Air condi;Situated in the ancient and most characteristic zone of Rome, Trastevere, you can find here a lot of typical restaurants and bars Starting from Trastevere you can reach on foot , all the most important monuments of Rome .;https://a0.muscache.com/im/pictures/20664241/c4d0081e_original.jpg,https://a0.muscache.com/im/pictures/20664264/b1cc17d7_original.jpg,https://a0.muscache.com/im/pictures/20664270/4349ae3a_original.jpg,https://a0.muscache.com/im/pictures/20664284/5c23e4c7_original.jpg,https://a0.muscache.com/im/pictures/21004283/85ca2c6f_original.jpg;6;41.88837;12.47453;Roma, Italia;Entire rental unit;Entire home/apt;5;1 bath;2;2;107.00;2;30;TRUE;TV,Essentials,First aid kit,Air conditioning,Hair dryer,Hot water,Cooking basics,Iron,Heating,Coffee maker,Self check-in,Wifi,Smart lock,Private entrance,Kitchen,Hangers,Carbon monoxide alarm,Fire extinguisher,Long term stays allowed,Shampoo,Free street parking
7;Intimate Suite for couples;The suite is divided into two floors with a total of 40 sq.m. On the ground floor you will find a small but cozy living room with kitchen, while the double bedroom and private bathroom are located upstairs. The two levels of the house are connected by an internal staicase and therefore it is not recommended for elderly people or those with difficulty climbing stairs. The space The suite is divided into two floors with a total of 40 sq.m. On the ground floor you will find a small but cozy living room with kitchen, while the double bedroom and private bathroom are located upstairs. San Pietro, Piazza Navona, the Colosseum, the Roman Forum, the museums and the shopping areas are close by and easy to reach. Questi i servizi offerti per un soggiorno piacevole e ricco di attenzioni: pulizia, cambio biancheria, asciugamani, TV LCD HD, Free Wi-Fi, iPod dock, Tablet interattivo, Cassaforte, Boiler, Nespresso, Impianto di climat;Situated in the ancient and most characteristic zone of Rome, Trastevere. Here you can find typical roman's restaurants and bars in the centre of th capital. From Trastevere you can reach all the most important monuments of Rome by walking.;https://a0.muscache.com/im/pictures/20806032/9cd27d11_original.jpg,https://a0.muscache.com/im/pictures/20806098/6ef0fbe7_original.jpg,https://a0.muscache.com/im/pictures/20806147/5a173f9b_original.jpg,https://a0.muscache.com/im/pictures/20806268/26d81b35_original.jpg,https://a0.muscache.com/im/pictures/21004876/b195b1c7_original.jpg;6;41.88985;12.47346;Roma, Italia;Entire rental unit;Entire home/apt;2;1 bath;1;1;71.00;2;60;TRUE;Essentials,First aid kit,Air conditioning,Extra pillows and blankets,Hair dryer,Cleaning products,Body soap,Hot water,Microwave,Cooking basics,Room-darkening shades,Iron,Keypad,Crib,Heating,Dining table,Bidet,Coffee,Coffee maker: espresso machine,HDTV,Self check-in,Wifi,Hot water kettle,Free washer in unit,Private entrance,Refrigerator,High chair,Kitchen,Drying rack for clothing,Hangers,Shower gel,Pack n play/Travel crib,Bed linens,Carbon monoxide alarm,Clothing storage: closet,Freezer,Wine glasses,Elevator,Fire extinguisher,Smoke alarm,Dishes and silverware,Shampoo,Pets allowed,City skyline view
8;Just behind Coliseum;My flat is in Rione Monti, the oldest neighborhood of Rome. In the same street was born Julius Caesar. It just behind Colosseum and the Roman Forum (about 200 meters). It is easy to reach from Central Railway Station (just one stop of the blue subway -linea B). suitable for couples, friends, business travelers and families (with children). Guest access We usually wait the guests for check in but you can do also easily self check in Other things to note We sanitize the apartment in compliance with the cleaning procedures prepared by the Ministry of Health in occasion of the Emergency COVID 19. In the same way we periodically sanitize all air conditioners;L'appartamento di trova nel quartiere Monti a pochissima distanza dal Colosseo e dai Fori Imperiali. La Chiesa di San Pietro in Vincoli dove Ã¨ custodito il MosÃ© di Michelangelo Ã¨ situata nello stesso quartiere a pochi minuti di distanza. Sempre a piedi si possono raggiungere facilmente il Quirinale, piazza Venezia e via del Corso;https://a0.muscache.com/im/pictures/d02ae23c-e8e9-4a4c-a22c-a17519ab26cf.jpg,https://a0.muscache.com/im/pictures/fe805b75-0483-4471-9c64-5009427d1344.jpg,https://a0.muscache.com/im/pictures/171007ce-dca1-44b0-8908-52f8e007f729.jpg,https://a0.muscache.com/im/pictures/54f54439-ec61-4783-aec8-13d49130c5f1.jpg,https://a0.muscache.com/im/pictures/6e965a93-8d88-47e0-8f06-cfd9536a52ea.jpg;7;41.89407;12.48926;Roma, Italia;Entire rental unit;Entire home/apt;4;1 bath;1;3;67.00;1;365;TRUE;Essentials,Extra pillows and blankets,Hair dryer,Cleaning products,Body soap,Hot water,Microwave,Cooking basics,Iron,Central heating,Dining table,Bidet,Coffee,Coffee maker: espresso machine,HDTV,Self check-in,Wifi,Hot water kettle,Stove,Free washer in unit,Private entrance,Refrigerator,Kitchen,Baking sheet,Central air conditioning,Drying rack for clothing,Hangers,Shower gel,Bed linens,Dishwasher,Dedicated workspace,Clothing storage: closet,Freezer,Wine glasses,Lockbox,Long term stays allowed,Dishes and silverware,Shampoo
9;Monolocale Studio Stazione Termini Monti Colosseo;"100% PRIVATE APARTMENT! NO OTHER FEES, NO SURPRISES AFTER BOOKING! Apartment immersed in the heart and history of Rome. The ideal spot for any itinerary. 10 minute by walk from Colosseum and Termini Train Station (where you can arrive directly from airport by shuttle bus or train). 5 minutes to subway stops Cavour or Vittorio Emanuele. Few steps from ""Basilica di Santa Maria Maggiore"". Just few steps around the apartment to find everything you need (restaurants, pizza, pub, bank, laundry, etc). The space The apartment is located in the center of Rome (in the heart of rome), in the characteristic Rione Monti, just a ten minute walk from the Coliseum and two minutes from the Basilica of Santa Maria Maggiore. It is a spacious and cozy studio apartment on the ground floor of an apartment building, which is situated directly on a quiet street of the old town. Its location makes it the ideal starting point for those who want to appreciate the touris";"The Monti neighborhood is considered one of the coolest of Rome and full of beautiful places and attractions to suit all tastes. Here you will notice craft shops, art galleries and cafes latest fashion next to typical restaurants. Monti is much sought after for its romantic style and hip, as well as for its proximity to the Colosseum, which characterizes it as one of the most valuable areas of Rome. In the past Monti was one of the darkest and neglected neighborhoods of the city, considered the ""dark side"" of the capital, because until the Forties was inhabited by prostitutes and criminals, so he was shunned by respectable citizens. Today the situation is very different: the most creative and trendy young people are attracted by the many trendy shops, the architectural goodies and trendy restaurants. Often these people to open hip and popular local flea market known today throughout Rome. the night life is not to die as tourist Trastevere but is charact";https://a0.muscache.com/im/pictures/de05d5b0-096a-47ab-b6f7-daca1c5f5158.jpg,https://a0.muscache.com/im/pictures/1989067a-8d65-45c9-a588-5e7c33e045b6.jpg,https://a0.muscache.com/im/pictures/634c7fad-cc76-435e-b083-373324f21f21.jpg,https://a0.muscache.com/im/pictures/b7555912-098f-4b99-ab40-caf5e6844145.jpg,https://a0.muscache.com/im/pictures/a977e541-5ea7-4373-94c8-51a3398315dc.jpg;4;41.89446;12.49835;Roma, Italia;Entire loft;Entire home/apt;2;1 bath;1;1;68.00;2;5;TRUE;TV,Essentials,Air conditioning,Extra pillows and blankets,Hair dryer,Body soap,Hot water,Room-darkening shades,Radiant heating,Bidet,Wifi,Hot water kettle,Breakfast,Refrigerator,Kitchen,Hangers,Shower gel,Bed linens,Dedicated workspace,Clothing storage: closet,Lock on bedroom door,Shampoo
10;Cupola di San Pietro;"The apartment is located in the Rome's city center, really close to Vatican City and San Peter's basilica. It is possible to admire the magnificence of San Peter's dome from the apartment's balcony. The staff of ""Saint Peter's dome"" will be pleased to host and welcome guests in order to make them have an unforgettable experience in Rome. The space The apartment is completely independent with every luxury and comforts necessary. Inside, the house is fitted with TV, high speed Wi-Fi connection, kitchen, air conditioning, 2 bedrooms, 1 living room (with sofa bed) and one bathroom. The real beauty of the house is the magnificent view of the San Peter's dome that you can admire from the living room's balcony (even from all the windows of the house) The structure is developed on one floor. The house can fit up to 6 guests who can dispose of all the property's services. The house's location is strategic for all those people who want to enjoy the b";The area where the apartment is located is peaceful and relaxing. It's located few minutes far from Saint Peter basilica (5 min by walk) and close to all public transports, The Saint Peter train station is situated jut down the apartment. Along the street down the apartment you can easily find a fully furnished supermarket, Post office, several shops and pubs.;https://a0.muscache.com/im/pictures/d3cd754b-6a47-4ff4-8e94-f922c98a0f03.jpg,https://a0.muscache.com/im/pictures/985679ee-3eda-4eee-b957-0b28b6d3e432.jpg,https://a0.muscache.com/im/pictures/92dbf611-0c1a-4668-aee3-3a5b507e10a7.jpg,https://a0.muscache.com/im/pictures/490d6e38-ec61-4caa-9209-18ed17b836ab.jpg,https://a0.muscache.com/im/pictures/edfa7ff3-1b5f-4df5-b582-bd67847365d7.jpg;8;41.89688;12.45068;Roma, Italia;Entire rental unit;Entire home/apt;6;1 bath;3;3;159.00;1;365;TRUE;Essentials,First aid kit,Paid washer in unit,Extra pillows and blankets,Cleaning products,Body soap,Hot water,Microwave,Paid parking garage on premises, HDTV with Netflix and Amazon Prime Video,Cooking basics,Central heating,Dining table,Bidet,Clothing storage: dresser and closet,Coffee,Smoking allowed,Laundromat nearby,Wifi,Host greets you,Hot water kettle,Stove,Refrigerator,Coffee maker: pour-over coffee,Kitchen,Single level home,Baking sheet,Paid street parking off premises,Drying rack for clothing,Hangers,Oven,Luggage dropoff allowed,Private patio or balcony,Portable fans,Bed linens,Dedicated workspace,Freezer,Books and reading material,Elevator,Fire extinguisher,Smoke alarm,Dishes and silverware,Pets allowed,City skyline view,Free street parking
11;VOLUPTA' S HOUSE in Rome;ONLY FOR SUNDAY 03/12/2017 CHECK-IN IS AT 18:00 PM VOLUPTA HOUSE it's the ideal apartment for your holiday or business trips. It's located in Via Carlo Emanuele, with separate entrance, in the heart of Rome, Colosseo (800 mt), Fori Imperiali the basilicas of San Giovanni in Laterano and Santa Croce in Gerusalemme,Circo Massimo, as well as the best roman 'trattoria' and restaurants. iTs 50 mt far from the Metro Manzoni and five-minutes walk from the main Train Station 'Roma Termini'. The space VOLUPTA HOUSE it's the ideal apartment for your holiday or business trips. It's located in Via Carlo Emanuele, with separate entrance, 50 mq, and consists of a lounge with kitchenette, a large bedroom for 4 PEOPLE (one double bed and two single beds) and a bathroom with shower. Into VOLUPTA HOUSE you can find all the necessary comforts: Satellite TV + NETFLIX, Wi-Fi, AIR CONDITIONING, WASHING MACHINE, INDUCTION PLATES, REFRIGERATOR, Po;;https://a0.muscache.com/im/pictures/36d13c38-8674-4950-ad32-054590e23f78.jpg,https://a0.muscache.com/im/pictures/e62e906f-fd8e-47c3-971f-22864e219075.jpg,https://a0.muscache.com/im/pictures/d37469aa-0bfd-41e5-af37-9677f07c3e53.jpg,https://a0.muscache.com/im/pictures/e29ebc5b-9031-412b-9407-a8c0064cc28f.jpg,https://a0.muscache.com/im/pictures/1541744a-83e8-4cec-be8c-07d39998c597.jpg;9;41.89083;12.50961;Roma, Italia;Entire condo;Entire home/apt;5;1 bath;1;4;61.00;1;365;TRUE;TV,Essentials,AC - split type ductless system,Hair dryer,Hot water,Paid parking on premises,Free parking on premises,Heating,Smoking allowed,Self check-in,Wifi,Breakfast,Private entrance,Refrigerator,Hangers,Lock on bedroom door,Fire extinguisher,Long term stays allowed,Shampoo,Building staff,Pets allowed
